id,ulasan,tanggal
393,Pelayanannya bagus dan responsif,2025-09-27
394,pelayanan sangat cepat. sangat memuaskan,2025-09-27
395,aplikasinya bagus sekali,2025-09-27
396,pemandaman listrik terlalu lama,2025-09-27
397,PLN mobile mantap dan sangat membantu,2025-09-27
398,mantap semoga bermanfaat,2025-09-27
399,beli token sangat mudah dan cepat,2025-09-27
400,masih bingung saya,2025-09-27
401,penanganan cepat tanggap,2025-09-27
402,sangat mengakses informasi listrik,2025-09-27
403,cepat dalam menangani gangguan,2025-09-27
404,ini gimana eror nyantol tdk bs dihentikan. jg gak masuk,2025-09-27
405,sangat berguna mantap,2025-09-27
406,sangat sangat membantu,2025-09-27
407,pelayanannya sangat bagus dan sangat cepat,2025-09-27
408,Quick respon penanganan gangguan listrik,2025-09-27
409,Aplikasi sangat bagus,2025-09-27
410,respon pengaduan lama,2025-09-27
411,cepat penanganan nya,2025-09-27
412,sangat membantu saya,2025-09-27
413,sangat membantu ringkas dan cepat penanganannya,2025-09-27
414,petugas siap tanggap dalam menangani laporan dari custemor.,2025-09-27
415,pelayanan sangat baik,2025-09-27
416,cepat tanggap.. walaupun sudah malam tetap di layani..,2025-09-27
417,aplikasi sangat membantu,2025-09-27
418,pln mobel josss,2025-09-27
419,pelyanan bagus cepat tanggap,2025-09-27
420,mantap PLN mobile,2025-09-27
421,aplikasi yang mantabs ..,2025-09-27
422,Praktis dan mudah di gunakan,2025-09-27
423,Dengan PLN mobile saya merasa terbantu karena bisa melakukan pembayaran rek. listrik tanpa harus ke ATM atau Loket,2025-09-28
424,aplikasi tidak membantu layanan pengaduan 123 harus pake pulsa sendiri,2025-09-28
425,pln mobile memberikan pelayanan yg sangat mudah sekali dalam bertransaksi situsnya sangat gampang,2025-09-28
426,sangat memuaskan dan pelayanan cepat,2025-09-28
427,pelayanan cepat dan ringkas,2025-09-28
428,PLN semakin maju PLN semakin jaya PLN semakin di depan,2025-09-28
429,MEMBANTU DAN BAIK,2025-09-28
430,PLN mobile memudahkan pelayanan dan mendapatkan informasi bagi pelanggan,2025-09-28
431,semua lebih mudah,2025-09-28
432,aplikasi hadir untuk lsyani plgga listrik,2025-09-28
433,sangat membantu. pelayanan sangat ramah,2025-09-28
434,sangat membantu dan cepat dalam melakukan transaksi,2025-09-28
435,memudahkan untuk beli token,2025-09-28
436,semakin mudah dan cepat,2025-09-28
437,semakin baik dan cepat,2025-09-28
438,semua mudah dengan PLN mobile.,2025-09-28
439,baik buat laporan gangguan,2025-09-28
440,semua menjadi mudah,2025-09-28
441,joss pool wes,2025-09-28
442,pln mantap pelayanan cepat,2025-09-28
443,aplikasi sangat bermanfaat dan membantu 👍👍👍,2025-09-28
444,respon sangat cepat pelayanan baik,2025-09-28
445,amanah sangat mempermudah,2025-09-28
446,aplikasi bagus dan cepat,2025-09-28
447,sangat mempermudah penggunaan semoga sukses,2025-09-28
448,mudah dan nyaman... semoga dapat undian,2025-09-28
449,apk PLN mobile cepat mudah teratasi,2025-09-28
450,pln mobile memang hebat pelayanannya cepat terpasang,2025-09-28
451,flexibel dan sangat membantu untuk mengatasi masalah. trimaksih PLN MOBILE..🙏🙏,2025-09-28
452,gengan aplikasi pln mobile memudahkan saya yg mau melapor jika ada gangguan kwh di rmh,2025-09-28
453,sangat PUAS DENGAN PETUGAS PLN,2025-09-28
454,dengan aplikasi ini kami dapat info tambah daya dan waktu proses tambah daya sangat cepat,2025-09-28
455,terimakasih atas bantuan'nya,2025-09-28
456,Bagus aplikasi PLN mobile. sangat membantu dan mudah digunakan.,2025-09-28
457,dengan PLN mobile lebih mempermudah layanan kelistrikan,2025-09-28
458,Alhamdulillah pelayanannya semakin membaik & responsnya cepat & tanggap. Makin tingkatkan lagi pelayanannya terhadap pelanggan agar pelanggan mendapatkan pelayanan yang cepat & tanggap.,2025-09-28
459,Respon dari customer service nya cepat dan petugas yg turun ke lapangan juga cepat,2025-09-28
460,respon cepat dan sangat membantu,2025-09-28
461,semoga makin baik,2025-09-28
462,maki kesini kenapa makin payah... coba dong aplikasi sama jaringannya disesuaikan dengan rakyat kalangan bawah...,2025-09-28
463,mantap aplikasinya bisa cek tagihan listrik n bayar listrik juga bisa baca meter sendiri.,2025-09-28
464,tambah daya lebih muda lewat PLN mobile,2025-09-28
465,sudah ditindak lanjuti,2025-09-28
466,tambah daya lebih muda lewat PLN mobile,2025-09-28
467,sangat memudahkan bagi UMKM,2025-09-28
468,pelayanan cepat ramai .. terimahkasih sudah membantu saya..,2025-09-28
469,keren sekali PLN Mobile! sangat memudahkan usaha saya,2025-09-28
470,gercep trimakasi pln,2025-09-28
471,sangat mudah aplikasinya,2025-09-28
472,bagus sekali aplikasinya,2025-09-28
473,pln mantap pelayanannya,2025-09-28
474,mudah di akses cepet pengecekan tagihan listrik mudah.terangnya pertahankan terus terang terus,2025-09-28
475,aplikasi sangat memudahkan,2025-09-28
476,apk skrg cukup bagus semoga kedepan pelayanannya lebih di tingkatkan lagi,2025-09-28
477,mantaapp petugasnya cepat tanggap.,2025-09-28
478,aplikasi udah terdaftar,2025-09-28
479,Aplikasi yang mempunyai fitur lengkap dan mudah di akses serta mempunyai promo yang menarik dan memberi kemudahan untuk pelanggan.,2025-09-28
480,aplikasi yg membatu mempermudah,2025-09-28
481,System All Good 👍 .fast respon,2025-09-28
482,MENYALAA POKOKNYA 🔥🔥,2025-09-28
483,bermanfaat buat masyarakat,2025-09-28
484,pelayanan cepat rapih dan ramah tamah. terima kasih. semoga sukses selalu,2025-09-28
485,aplikasi sangat bagus,2025-09-28
486,pln mobile ok,2025-09-28
487,Hallo kak aplikasinya bagus tidak ada kendala tapi sedikit mau bertanya ini aplikasinya bisa ngelacak ga sih petugasnya beneran ngerjain pengaduannya atau tidak soalnya sering bgt sudah dilakukan pengaduan tapi selalu dibatalkan sama petuagsnya dengan alasan jaringan. kalo 1 atau 2 kali masih wajar ini setipa kali pengaduan pasti dibatalin sama petugasnya . selebihnya Kalo untuk aplikasinya cukup membantu . ohh iya sama satu lagi ini Lokasinya kadang ga sesuai. terima kasih,2025-09-28
488,kalo sering laporan karna listrik padam sring gak di respon,2025-09-28
489,terimah kasih atas respon cpet.. PLN hebat,2025-09-28
490,cepat dan tanggap,2025-09-28
491,mantaap sangat fast respon pertahankan..,2025-09-28
492,terima kasih pln,2025-09-28
493,Aplikasi yg sangat membantu n rekomendet,2025-09-28
494,terimakasih PLN sudah nyala,2025-09-28
495,pln mobile membantu masalah yg saya jadapi soal kelistrikan...,2025-09-28
496,tim it ny GOBLOC bangsad aplikasi di buka lemot. khonthol bangsad . kerja pake org dalem ga becus kerjanya. lu tim it titipan DIREKSI mana sampe Lo bisa kerja tp ga becus aplikasi nya,2025-09-28
497,memudahkan pembayaran listrik,2025-09-28
498,terima kasih buat pln uc ambulu gercep banget. best service always...,2025-09-28
499,maf Min kenapa semjak PJU di ambil alih ke pemerintah daerah pada ga kerawat ya?,2025-09-28
500,sangat buruk jangan pakai aplikasi ini,2025-09-28
501,terima kasih sdh ditangani lampu yang padam di rumah saya...luar biasa petugasnya tanggap.,2025-09-28
502,aplikasi ini dpt membantu dalam proses gangguan listrik drmh,2025-09-28
503,Sipp. Spklu R2 udh bisa di mana2 . Udh ada kanopi jadi gak kehujanan kepanasan,2025-09-28
504,eror eror eror,2025-09-28
505,dengan PLN mobile sudah semakin mudah untuk membuat laporan gangguan kelistrikan dan juga pembelian token listrik.,2025-09-28
506,penanganan cepat dan ramah,2025-09-28
507,bagus dan sangat membantu,2025-09-28
508,aplikasi yg sangat membantu sekali,2025-09-28
509,kemarin sore listrik padam. hari ini listrik padam lagi. Padahal ga angin ga hujan. hhh tolong diperbaiki.,2025-09-28
510,terimakasih pak PLN,2025-09-28
511,terimakasih sangat membantu aplikasinya.,2025-09-28
512,respon trhdp pengaduan gercep.. 🙏,2025-09-28
513,bagus playananya .. cepet,2025-09-28
514,mantab trimakasih pln,2025-09-28
515,sangat mempermudah dan membantu kami dalam segala hal...👍,2025-09-28
516,menjadi kan waktu lebih efesien,2025-09-28
517,bagus aplikasi nya responnya cepat,2025-09-28
518,keren ...semoga melayani masyarakat semakin di hati,2025-09-28
519,aplikasinya keren tinggal klik petugas datang perbaiki listrik rumah says,2025-09-28
520,Sangat Bagus Dan Mudah Digunakan Aplikasi Ini.,2025-09-28
521,kembalikan menu pengaduan seperti versi sebelumnya yang bisa kasih ranting untuk kinerja petugas lapangan,2025-09-28
522,aplikasinya sangat membantu,2025-09-28
523,sebuah kebutuhan yang amat penting bagi kehidupan masyarakat dan PLN selalu bersama masyarakat...,2025-09-28
524,dengan pln mobile laporan listrik rumah saya cepat teratasi,2025-09-28
525,terima kasih pln atas manfaat dari aplikasi pln guna mempergunakan pln atas pln ini pln garda terdepan,2025-09-28
526,cara bayar dan isi saldo nya gimana ya,2025-09-28
527,aplikasi sangat membantu sekali ketika ada masalah listrik di rumah dgn apl ini semua makin mudah dan cepat pelayanan dari pln,2025-09-28
528,sangat bermanfaat untuk keperluan yg berhubungan dengan listrik,2025-09-29
529,melakukan pengaduan geser meter jadi mudah,2025-09-29
530,suka dengan pelayanannya gercep,2025-09-29
531,permohonan untuk pembenahan kabel meteran jadi mudah,2025-09-29
532,terimakasih aplikasi PLN mobile. aplikasi ini sangat berguna bagi kami sebagai pelanggan PLN,2025-09-29
533,lancar trus ...smkin bermanfaat,2025-09-29
534,Terima kasih sudah dilakukan pembaharuan jika kita lapor kQh Meter prabayar tulis periksa langsung masuk di keluhan jadi penanganannya lebih cepat dan Terima kasih telah dihubungi saat akan melakukan perbaikan,2025-09-29
535,sangat mudah untuk melakukan permohonan geser meter,2025-09-29
536,PLN mobile sangat memudahkan masyarakat,2025-09-29
537,pelayanan bagus dan ramah,2025-09-29
538,PLN mobile semua makin mudah,2025-09-29
539,pengaduan listrik padam jadi praktis,2025-09-29
540,PLN mobile sangat membantu kami,2025-09-29
541,belum terbiasa menggunakan,2025-09-29
542,aplikasi nya oke proses cepet trimakasih,2025-09-29
543,mudah dan cepat,2025-09-29
544,pln ter baik,2025-09-29
545,yang benar saja,2025-09-29
546,Semakin dipermudah untuk semua pelayanannya semangat,2025-09-29
547,Sangat sangat membantu adanya aplikasi PLN mobile bisa akses semua program program PLN tanpa harus datang ke kantor 🫶🫶.,2025-09-29
548,semoga ke depannya lebih baik lagi,2025-09-29
549,PLN ULP Cikande pelayanan cepat dan ramah sangat baik,2025-09-29
550,sangat mudah saat buat permohonan geser kabel kwh meter,2025-09-29
551,pengaduan di pl mobile cepet di tanganin pln cikqnde👍,2025-09-29
552,Semoga pln kedepan lebih maju lagi semangat gazzzz poll,2025-09-29
553,keren mantab aplikasinya,2025-09-29
554,Semua Layanan semakin mudah diakses dan cepat layanannya .. #PLNTERBAIK,2025-09-29
555,keren banget apliksinya,2025-09-29
556,Aplikasinya bagus dan mudah sekali,2025-09-29
557,Semakin terdepan dan sukses selalu...Semua Semakin Mudah 😎 PLN Teeerrrbaaaiikk 👍👍☺️,2025-09-29
558,aplikasi sangat bagus untuk mengurusi masalah kelistrikan dan mau beli token semua ada di PLN mobile tidak pake ribet,2025-09-29
559,migrasi di pln mobile mdh,2025-09-29
560,pelayanan lebih makin gampang di proses dan mudah.,2025-09-29
561,PLN mobile mantap bangett,2025-09-29
562,fitur peta lokasi memudahkan pelanggan menemukan kantor PLN atau pos pelayanan terdekat,2025-09-29
563,PLN semakin maju dan pelayanan cepat PLN makin sukses,2025-09-29
564,pln mobile ok,2025-09-29
565,layanan yg mudah dan cepat,2025-09-29
566,Pln mobile mendunia dan sangat membantu pelanggan,2025-09-29
567,permohonan sambung sementara jadi mudah,2025-09-29
568,Aplikasi yang memudahkan pengecekan laporan gangguan jd lebih cepat 👍,2025-09-29
569,PLN Mobile Terbaik dan Cepat pelayanannya.,2025-09-29
570,sangat terbantu trimakasih PLN mobile,2025-09-29
571,aplikasi simpel dan mudah di pahami... sangat membantu,2025-09-29
572,respon cepat terimakasih,2025-09-29
573,Aplikasi sekarang sangat membantu. Smua jadi transparan,2025-09-29
574,sangat membantu menyiapkan nominal yang akan dibayarkan..,2025-09-29
575,permohonan melakukan perbaikan kabel meter jadi mudah,2025-09-29
576,lapor lampu mati bs dr sini lo..mudah dan aman,2025-09-29
577,aplikasi pln mobile ini sangat banyak membantu info² tentang kelistrikan👍,2025-09-29
578,pengaduan migrasi ke listrik pulsa lebih mudah melalui pln mobile,2025-09-29
579,aplikasi sangat berguna,2025-09-29
580,PLN memang ok👍👍,2025-09-29
581,aplikasi yg sangat bagus untuk pengaduan mudah dan cepat respon,2025-09-29
582,sangat membantu sekali,2025-09-29
583,alhamdulillah pelayanan baik,2025-09-29
584,pengaduan geser meterjadi mudah,2025-09-29
585,melayani pelanggan dengan semangat.,2025-09-29
586,pelayanan baik .memuaskan .penjelasan mudah dipahami.petugas ramah dan sabar melayani maksut pemohon.,2025-09-29
587,buat pengaduan listrik padam jadi mudah dan praktis,2025-09-29
588,mantap dan cepat,2025-09-29
589,aplikasi yang membawa kemudahan dalam pelayanan terhadap pelanggan PLN.,2025-09-29
590,Aplikasi PLN mobile sangat bagus dan mempermudah dalam laporan masalah kelistrikan dan menggunakan aplikasi PLN mobile semuanya makin mudah 👌👌👌 pengisian token dan Swacam meter sudah bisa di aplikasi PLN mobile Terbaik.pokoknya mantal,2025-09-29
591,Aplikasi memudahkan pelanggan dalam urusan kelistrikan,2025-09-29
592,plng Mobile sangat membantu,2025-09-29
593,Perlindungan data dan keamanaan aplikasi diperketat utk pencegahan yg tidak diinginkan..,2025-09-29
594,cepat dan mudah,2025-09-29
595,pln semakin terdepan dan selalu berjaya kedapanya,2025-09-29
596,PLN MOBILE MEMANG KEREN PROSESNYA CEPAT DAN PRAKTIS.,2025-09-29
597,Mantap kali.. aplikasinya sangat bermanfaat 👍👏,2025-09-29
598,PLN MOBILE MANTAP,2025-09-29
599,turun daya telah selesai,2025-09-29
600,PLN mobile sangat mantap dan aman,2025-09-29
601,pln mobile sangat membantu,2025-09-29
602,PLN mobile handal & terbaik,2025-09-29
603,pengaduan di pln mobil mdh,2025-09-29
604,puas dengan leyanan pekerja PT.PLN,2025-09-29
605,penangan cepat josss,2025-09-29
606,pln mobile udah digunakkan,2025-09-29
607,aplikasi yang sangat bagus dan membantu pelanggan pln dalam menangani masalah kelistrikan,2025-09-29
608,Pln mobil semakin jaya dan gak ad terkandala semakin makmur PLN mobile👍,2025-09-29
609,instal kebutuhan gangguan,2025-09-29
610,Muantaapp PLN MOBILE 👍👍👍👍👌,2025-09-29
611,nggk guna pasang baru sampek 3X pengajuan alasan alamat tidak sesuai terus minta foto ktp sama foto rumah buat apa?? gambar doang atau apa ?? bukan buat referensi kah . petugas juga tidak ada yang hubungi sudah batal aja.,2025-09-29
612,dengan aplikasi ini memudahkan kami untuk melapor ganguan dari rumah dan responya sangat cepat,2025-09-29
613,sangat membantu membuat pengaduan listrik padam,2025-09-29
614,pln mobile mantap okeeee,2025-09-29
615,PLN Mobile Jos Gondos,2025-09-29
616,bisa membantu saya untuk betulin listrik,2025-09-29
617,mempermudah tagihan bulanan,2025-09-29
618,ayo pakai PLN mobile untuk urusan kelistrikan mu.pengaduan dan permohonan bisa disini,2025-09-29
619,pln sangat membantu masyarakat,2025-09-29
620,Terima kasih PLNMOBILE,2025-09-29
621,PLN MOBILE MANTAP,2025-09-29
622,Cepat dan tepat,2025-09-29
623,PLN mobile is the best,2025-09-29
624,dengan aplikasi ini kami dapat melapor ganguan dari rumah dan responnya sangat cepat,2025-09-29
625,baik dan akurat cepat,2025-09-29
626,good job for PLN mobile,2025-09-29
627,mantap dan terbaik,2025-09-29
628,tsmbah daya promo,2025-09-29
629,aplikasi ini sangt mudah dan membantu sekali ketika ada masalh ato gangguan listrik di rumah.,2025-09-29
630,pln mobile yang sangat mudah digunakan dalam pelayanan. trims pln🙏,2025-09-29
631,untuk pelayanan PLN Gresik baik,2025-09-29
632,terimakasi semenjak ada aplikasi cepat direspon,2025-09-29
633,pelayan bagus . reaksi cepat pengerjaan patas da teliti,2025-09-29
634,Dengan pln mobile semua aktivitas dan kebutuhan kelistrikan SDH bisa kita akses,2025-09-29
635,oke terimakasih pln,2025-09-29
636,terimakasi pln mobile,2025-09-29
637,aplikasi sangat membantu saat ada gangguan bisa ngelapor dimna saja,2025-09-29
638,bermangfaat untuk kelistrikan,2025-09-29
639,Penggunaa listrik cukup kontrol dari rumah dengan pln mobile,2025-09-29
640,Aplikasinya memudahkan tak perlu repot cukup lewat gadget,2025-09-29
641,cepat dn terbaik,2025-09-29
642,kok sekarang gak bisa beli token ya kenapa,2025-09-29
643,pengaduan di pln mobile mudah,2025-09-29
644,PLN sgt membantu pelanggan dg praktis dan efisien,2025-09-29
645,Aplikasi sangat membantu dan mudah dipahami,2025-09-29
646,pengaduan geser meter jadi mudah,2025-09-29
647,petugas cepat tanggap dan ramah,2025-09-29
648,pelayanan cepat memuaskan,2025-09-29
649,pelayanannya mantap sekali TRIms..,2025-09-29
650,mobile pln istimewa,2025-09-29
651,pengaduan di pln mobile mudah,2025-09-29
652,beli token murah dapat hadiah menarik ADM nya murah juga makasih pln🙂,2025-09-29
653,petugasnya sigap dan membantu saya,2025-09-29
654,dengan adanya PLN mobile sangat membantu. memudahkan masyarakat untuk mengakses berbagai kendala dalam kelistrikan,2025-09-29
655,Sangat Membantu sekali untuk pengaduan,2025-09-29
656,saya pakai aplikasi ini untuk laporan gangguan setiap bulan,2025-09-29
657,aplikasi ny sangat keren,2025-09-29
658,Lengkap dan mudah,2025-09-29
659,PLN Mobile 👍👍,2025-09-29
660,pelayanan cepat dan tanggap segera ditangani. terimakasih,2025-09-29
661,pln mobile paling pas buat kami pelanggan sering gangguan listrik kami melapor melalui pln mobile,2025-09-29
662,pengaduan periksa lebih mudah melalui pln mobile,2025-09-29
663,PLN mobile top petugas ramah dan pelayanan cepat,2025-09-29
664,PLN mobile sangat memudah kan ya,2025-09-29
665,trimakasih aplikasi yg cukup membantu kita transaksi sama pln,2025-09-29
666,Pln terbaik bisa di percaya sangat memnantu,2025-09-29
667,aplikasi ini sangat membantu dalam pelayanan cepat,2025-09-29
668,mantap mantap mantap,2025-09-29
669,playanan sngat ramah,2025-09-29
670,Pelayanan baik dan Respon cepat..,2025-09-29
671,penanganan cepat dan baik,2025-09-29
672,aplikasi sudah bagus dan lebih mudah,2025-09-29
673,pelayanan sangat memuaskan 👍,2025-09-29
674,trimakasih PLN mobile... layanan sangat memuaskan,2025-09-29
675,dgn PLN mobile semua laporan semua laporan semakin muda dan cepat,2025-09-29
676,Pln Mobile sangat membantu sekali,2025-09-29
677,sip cepat tanggap,2025-09-29
678,PLN sangant Bgus dah cocok di gunakan isi token pulsa.,2025-09-29
679,aplikasinya sangat bermanfaat bagi kehidupan,2025-09-29
680,Dengan pln mobile urusan listrik JD mudah,2025-09-29
681,oke mantap sekali min,2025-09-29
682,PLN mantapp !!,2025-09-29
683,sangat membantu dan sangat mudah untuk layanan aplikasi,2025-09-29
684,pelayanan di martapura kalsel sangat bagus,2025-09-29
685,turunkan biaya listrik,2025-09-29
686,Lebih mudah dengan PLN Mobile 👍,2025-09-29
687,PLN terbaik...semarang selatan luar biasa,2025-09-29
688,bisa buat bayar listrik dan beli token,2025-09-29
689,instal untuk kelistrikan,2025-09-29
690,aplikasi yang mempermudah pelanggan,2025-09-29
691,Aplikasinya sangat bagus,2025-09-29
692,PLN mobile membuat semua jadi mudah,2025-09-29
693,aplikasi yang mempermudah pelanggan,2025-09-29
694,meter kami tidak bsa di isi token,2025-09-29
695,Te O Pe deh,2025-09-29
696,proses pasang baru jadi lebih mudah dengan aplikasi pln mobile,2025-09-29
697,terbaik dan cepat,2025-09-29
698,aplikasi membantu dan memudahkan pengaduan gangguan,2025-09-29
699,aplikasi sangat berguna sekali,2025-09-29
700,pengaduan tembok nyetrum lebih mudah melalui pln mobile,2025-09-29
701,aplikasi yang sangat bermanfaat mudah dipahami dan dimengerti dalam pelayanan,2025-09-29
702,aplikasi pln mobile sangat bermanfaat bagi kami pelanggan listrik,2025-09-29
703,pelayanan cepat dan ramah pln membantu sekali terimakasih,2025-09-29
704,Aplikasi PLN mobile sangat membantu kami dan mempermudah kami dalam membuat laporan gangguan listrik.,2025-09-29
705,Good... sangat membantu,2025-09-29
706,Waktu Pemasangan Cepat dan baik,2025-09-29
707,aplikasinya snga t bagus dn memuaskan,2025-09-29
708,aplikasinya mantap sangat membantu 👍👍👍,2025-09-29
709,aplikasi ini juga dapat digunakan untuk melakukan pengisian pulsa listrik,2025-09-29
710,petugas sangat respon,2025-09-29
711,terimakasih pln mobil atas bantuan menangani Maslah listrik kami,2025-09-29
712,Sangat membantu dengan adanya PLN mobile,2025-09-29
713,aplikasi membantu sekali dalam pelaporan,2025-09-29
714,PLN Mobile okeee,2025-09-29
715,aplikasi ini memudahkan kami dalam proses pelayanan,2025-09-29
716,pln mobile sangat membantu saya dalam hal penangan gangguan tanpa harus datang ke kantor PLN terdekat,2025-09-29
717,semakin baik dan semakin bermanfaat sistem yang baik dan beeguna,2025-09-29
718,pelayanan nya bagus,2025-09-29
719,PLN MOBILE MANTAP & TERBAIK..!,2025-09-29
720,pln is the best,2025-09-29
721,apk ini sangat membantu trimakasih pln,2025-09-29
722,sangat puas dengan aplikasi ini,2025-09-29
723,aplikasi pln mobile sebenarnya bagus tp bg yg gaptek susah juga,2025-09-29
724,aplikasi yang manfaat,2025-09-29
725,pln mobile cepat. terbaik,2025-09-29
726,pelayanan baik dan cepat..terima kasih,2025-09-29
727,pelayanan cepat terus konsisten aja smngt,2025-09-29
728,saya sangat bahagia.,2025-09-29
729,Aplikasi nya sangat berguna bagi pelanggan,2025-09-29
730,terimakasih sangat membantu kami sebagai sarana laporan gangguan kelistrikan,2025-09-29
731,bos banger aplikasine sangat membantu..,2025-09-29
732,aplikasi pln mobile sangat membantu dan mudah digunakan ketika kami mengalami gangguan listrik.,2025-09-29
733,Terima kasih PLN mobile telah membantu kami dalam pasang baru,2025-09-29
734,pelayanan manta cepat dan ramah(sopan),2025-09-29
735,pelayanan pln mantap,2025-09-29
736,aplikasi yg sangat bagus sekali,2025-09-29
737,afk pln mobile ini sangat membantu. di setiap keperluan di bidang pln terutama ganguan listrik di mana pun . MANTAP.,2025-09-29
738,Aplikasi yang membantu pelanggan. Terima kasih..,2025-09-29
739,baru pertama kali download jadi msh perlu belajar lagi bosku,2025-09-29
740,terima kasih PLN..aplikasinya baik dan bagus,2025-09-29
741,pelayanannya cepat lewat aplikasi,2025-09-29
742,dengan adanya pln mobile pembayaran listrik makin mudah,2025-09-29
743,Pelayanan cepat dan Mantap,2025-09-29
744,Terimakasih petugas MCB ON sudah melakukan penyambungan meteran baru🙏🏼🙏🏼,2025-09-29
745,pln mobile semakin baik,2025-09-29
746,pelayanan pln ambulu mantabs .cepat .petugas ramah..,2025-09-29
747,aplikasi yg sangat berguna,2025-09-29
748,top. cepat tanggap,2025-09-29
749,fitur swacam bermanfaat sekali,2025-09-29
750,aplikasi yang mudah di gunakan untuk pembelian token listrik,2025-09-29
751,PLN mobile mantep,2025-09-29
752,untuk memudahkan informasinya,2025-09-29
753,pelayanan sangat cepat kilat petugas ramah dan sopan terima kasih pak petugas,2025-09-29
754,terdepan dlm pelayanan,2025-09-29
755,semakin mudah dan terpercaya pln mobile,2025-09-29
756,PLN Mobile mantapp.. 👍👍👍,2025-09-29
757,terima kasih untuk petugas karna telah melayani kami degan baik🔥🔥,2025-09-29
758,PLN ok selalu,2025-09-29
759,cara pelaporan kelistrikan makin mudah,2025-09-29
760,pln mobiel mantap,2025-09-29
761,maksih PLN jos,2025-09-29
762,pelayanan sangat baik 👍,2025-09-29
763,urusan listrik jadi lebih mudah 👍,2025-09-29
764,terimakasih untuk pln atas pelayanannya dengan cepat dan tanggap atas laporan nya,2025-09-29
765,mau buat pengaduan tapi GK bisa aplikasi nya GK berbobot,2025-09-29
766,saya puas dan senang,2025-09-29
767,melayani sangat puas petugas nya juga sangat ramah dan tanggap apalagi petugas yantek jambu tonang,2025-09-29
768,cepat mudah dan murah praktis,2025-09-29
769,Alhamdulillah sangat bermanfaat sekali joss,2025-09-29
770,pelayanannya fast respon.,2025-09-29
771,aplikasi yang memudahkan dalam penyelesaian transaksi pln,2025-09-29
772,sekelas pln kok bisa memiliki aplikasi yang sangat jelek. lemot.,2025-09-29
773,aplikasi. yang sangat membantu,2025-09-29
774,mantap.aplikasi yg baik dan mudah di gunakan.,2025-09-29
775,aplikasi ini sangat mempermudah,2025-09-29
776,Good apps 🤗 ❤️ Sukses PLN.,2025-09-29
777,pelayanannya sangat memuaskan,2025-09-29
778,pelayanan Cepat dan handal juga Aplikasi ini sangat membantu kami,2025-09-29
779,layanan responsif memuaskan,2025-09-29
780,gercep pakai aplikasi PLN mobile langsung di wa dan langsung dieksekusi pengaduannya...terimakasiih PLN🥰,2025-09-29
781,sangat membantu dlm sistem pembayaran,2025-09-29
782,pelayanan terbaik...dan puas,2025-09-29
783,Aplikasinya sangat user friendly dan mudah diakses. Tampilannya juga simple dan memudahkan sekali,2025-09-29
784,pelayanannya sangat buruk,2025-09-29
785,terimakasih petugas PLN telah memperbaiki listrik di rumah saya,2025-09-29
786,baik dan cepat,2025-09-29
787,pelayanan sengat baik dan ramah.makasih pln mobile,2025-09-29
788,listrik padam hampir 8 jam,2025-09-29
789,Sangat membantu sekali terimakasi,2025-09-29
790,makin mudah dan cepat,2025-09-29
791,aplikasi sangat membantu ketika listrik padam pakai pln mobile,2025-09-29
792,kadang susah koneksi untuk electrik vihecle,2025-09-29
793,mantap dan sangat membantuu,2025-09-29
794,tidak puas tambah ribet tambah susah ujung ujung nya suruh ke kantor juga,2025-09-29
795,qqqqqqqqq maju lagi dan lebih baik gy.,2025-09-29
796,malam ini pln sangat mengecewakan kami warga ptj,2025-09-29
797,lebih agar bisa ditingkatkn kualitas aplikasi ini. terimakasih,2025-09-29
798,garcep pelayanan baik,2025-09-29
799,Terimakasih atas pelayanannya,2025-09-29
800,tdk bisa mengulas hasil laporan yg ditangani oleh petugas PLN. sejak tiang pln dipindahkan sementara dekat rumah saya krn pembangunan jalan tol thn 2020. kini sudah 5 tahun belum juga dipindahkan ke tempat semula. entah kemana lagi harus melapor. hebatnyalagi kalau mau pindahkan tiang TDK akan digubris oleh pihak PLN.,2025-09-29
801,beli token lebih cepat dan mudah,2025-09-29
802,Amat membantu dalam informasi dan mempermudah terkait dengan kelistrikan,2025-09-29
803,pembelian token lebih fleksibel dari nilai harga terendah sampai harga tertinggi lengkap memang gitu pln lengkap,2025-09-29
804,mudah dan gampang berjaya terus pln,2025-09-29
805,pln mobile bisa di pake untuk pendaptaran pasang baru tambah daya dan lain lain terutama masalah kelistrikan,2025-09-29
806,lumayan cukup membantu masalah kelistrikan,2025-09-29
807,apk yg sangat sangat menbantu,2025-09-29
808,aplikasi yang sangat membantu pelanggan mudah penggunaannya semoga semakin banyak kemajuan,2025-09-29
809,selalu cepat tanggap,2025-09-29
810,Semakin mudah bertransaksi melalui Aplikasi PLN Mobile..,2025-09-30
811,PlN mobile sangat membantu dalam pengaduan listrik,2025-09-30
812,PLN mobile lebih memudahkan ketika ada gangguan listrik di rumah saya...,2025-09-30
813,PLN MOBILE SANGAT MEMBNTU SAYA DALAM SEGALA PELAYANAN KELISTRIKAN 👍👍👍👍👍👍,2025-09-30
814,aplikasi PLN mobile sangat bagus untuk memudahkan pelanggan mendapatkan pelayanan dgn cepat.ada menu catat meter mandiri dan juga bisa cek atau bayar tagihan jadi lebih gampang.,2025-09-30
815,bagus. transaksi cepat,2025-09-30
816,aplikasi pln mobile sangat bagus untuk laporan gangguan listrik.,2025-09-30
